,cap.english,cap.universal,display_scores.english.astroturf,display_scores.english.fake_follower,display_scores.english.financial,display_scores.english.other,display_scores.english.overall,display_scores.english.self_declared,display_scores.english.spammer,display_scores.universal.astroturf,display_scores.universal.fake_follower,display_scores.universal.financial,display_scores.universal.other,display_scores.universal.overall,display_scores.universal.self_declared,display_scores.universal.spammer,raw_scores.english.astroturf,raw_scores.english.fake_follower,raw_scores.english.financial,raw_scores.english.other,raw_scores.english.overall,raw_scores.english.self_declared,raw_scores.english.spammer,raw_scores.universal.astroturf,raw_scores.universal.fake_follower,raw_scores.universal.financial,raw_scores.universal.other,raw_scores.universal.overall,raw_scores.universal.self_declared,raw_scores.universal.spammer,user.majority_lang,user.user_data.contributors_enabled,user.user_data.created_at,user.user_data.default_profile,user.user_data.default_profile_image,user.user_data.description,user.user_data.entities.description.urls,user.user_data.entities.url.urls,user.user_data.favourites_count,user.user_data.follow_request_sent,user.user_data.followers_count,user.user_data.following,user.user_data.friends_count,user.user_data.geo_enabled,user.user_data.has_extended_profile,user.user_data.id,user.user_data.id_str,user.user_data.is_translation_enabled,user.user_data.is_translator,user.user_data.lang,user.user_data.listed_count,user.user_data.location,user.user_data.name,user.user_data.notifications,user.user_data.profile_background_color,user.user_data.profile_background_image_url,user.user_data.profile_background_image_url_https,user.user_data.profile_background_tile,user.user_data.profile_banner_url,user.user_data.profile_image_url,user.user_data.profile_image_url_https,user.user_data.profile_link_color,user.user_data.profile_sidebar_border_color,user.user_data.profile_sidebar_fill_color,user.user_data.profile_text_color,user.user_data.profile_use_background_image,user.user_data.protected,user.user_data.screen_name,user.user_data.statuses_count,user.user_data.time_zone,user.user_data.translator_type,user.user_data.url,user.user_data.utc_offset,user.user_data.verified,user.user_data.withheld_in_countries
464,0.8287549877594508,0.8148417533461276,0.4,4.2,3.4,4.0,4.2,3.8,3.0,0.4,3.9,2.6,3.6,3.9,3.0,2.7,0.08,0.84,0.68,0.79,0.84,0.76,0.61,0.07,0.78,0.51,0.73,0.78,0.6,0.53,es,False,Sun May 15 15:00:41 +0000 2011,True,False,,[],,9,False,2,False,5,True,False,299121294,299121294,False,False,,0,,MWS,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/1360122236/image_normal.jpg,https://pbs.twimg.com/profile_images/1360122236/image_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,maxwingspan,18,,none,,,False,[]
465,0.8287549877594508,0.8662905376040458,0.2,4.1,2.5,4.2,4.2,3.0,3.5,0.0,4.5,2.8,3.4,4.5,3.6,2.1,0.05,0.81,0.5,0.84,0.84,0.61,0.7,0.0,0.9,0.56,0.68,0.9,0.73,0.42,en,False,Tue May 17 09:52:40 +0000 2011,True,False,Neva giv up in lyfe,[],,0,False,2,False,13,False,False,300170701,300170701,False,False,,0,Eldoret,Caleb Mwangi,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/1357471999/50a47815cb2600e857de8db06ed84_3501_normal.jpg,https://pbs.twimg.com/profile_images/1357471999/50a47815cb2600e857de8db06ed84_3501_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,CalebMwangi,3,,none,,,False,[]
466,0.7971738960175367,0.7437205366967014,0.1,2.3,0.5,2.2,2.6,0.0,1.4,0.1,1.5,0.2,1.9,1.2,0.0,0.8,0.02,0.46,0.1,0.45,0.51,0.0,0.29,0.02,0.3,0.05,0.38,0.23,0.0,0.16,pt,False,Tue May 24 21:28:42 +0000 2011,False,False,"📍De Viana para o Mundo e mais além!






 Carteiro nos @postais90",[],,3700,False,93,False,551,False,True,304644063,304644063,False,False,,0,,Miguel Novo,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/304644063/1658649572,http://pbs.twimg.com/profile_images/1580633588311248897/3jd9p7rl_normal.jpg,https://pbs.twimg.com/profile_images/1580633588311248897/3jd9p7rl_normal.jpg,1B95E0,000000,000000,000000,False,False,Miguel__Novo,741,,none,,,False,[]
467,0.8287549877594508,0.8091273704655436,0.6,4.2,1.4,2.7,4.2,0.8,3.4,0.4,3.7,1.0,2.7,3.7,0.9,3.2,0.12,0.84,0.29,0.54,0.84,0.15,0.69,0.07,0.74,0.21,0.53,0.74,0.18,0.65,en,False,Thu May 26 08:49:15 +0000 2011,True,False,An Electrical Electronics Engineer with a passion for Fintech,[],,47,False,12,False,85,False,True,305478273,305478273,False,False,,1,Nigeria ,Ezekwesili Precious,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/1568550836032135169/q2ECSj7F_normal.jpg,https://pbs.twimg.com/profile_images/1568550836032135169/q2ECSj7F_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,Engr_SirEze,20,,none,,,False,[]
468,0.8748575042966269,0.8115094045580712,0.0,3.8,1.6,4.6,4.6,2.8,2.0,0.0,3.6,1.6,3.8,3.8,2.9,2.2,0.01,0.76,0.32,0.91,0.91,0.57,0.4,0.0,0.73,0.32,0.76,0.76,0.59,0.44,es,False,Mon Jun 06 23:03:44 +0000 2011,True,False,,[],,0,False,3,False,5,False,False,312320484,312320484,False,False,,0,,LUIS EDO CHAPARRO,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/472164001540227072/ZKDsbTjU_normal.jpeg,https://pbs.twimg.com/profile_images/472164001540227072/ZKDsbTjU_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,EDO_LUIS,7,,none,,,False,[]
469,0.8021481695167405,0.8052475029769541,0.0,3.8,0.0,2.8,3.8,0.6,2.7,0.0,2.6,0.0,2.2,2.4,0.3,1.8,0.01,0.75,0.0,0.57,0.75,0.13,0.53,0.0,0.51,0.0,0.44,0.48,0.06,0.36,es,False,Fri Jun 17 18:59:23 +0000 2011,False,False,poj yo,[],,112,False,136,False,107,True,True,319212625,319212625,False,False,,0,colombia,Sado Daza,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,https://pbs.twimg.com/profile_banners/319212625/1549849825,http://pbs.twimg.com/profile_images/1094773912104259584/Pbo3clXq_normal.jpg,https://pbs.twimg.com/profile_images/1094773912104259584/Pbo3clXq_normal.jpg,009999,EEEEEE,EFEFEF,333333,True,False,SadocD,561,,none,,,False,[]
470,1.0,1.0,0.1,5.0,2.7,4.2,5.0,2.4,3.2,0.0,5.0,3.5,3.8,5.0,4.2,4.8,0.02,1.0,0.54,0.85,1.0,0.48,0.63,0.0,1.0,0.7053454754310015,0.7505952380952381,1.0,0.84,0.9572588393599502,en,False,Wed Jun 29 03:02:00 +0000 2011,True,True,,[],,0,False,0,False,0,False,False,325927884,325927884,False,False,,0,,Armando Ramirez,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,ArmandoRamire16,1,,none,,,False,[]
471,1.0,1.0,0.2,5.0,4.0,3.6,5.0,2.2,4.4,0.0,5.0,3.5,3.8,5.0,4.2,4.8,0.05,1.0,0.8,0.72,1.0,0.43,0.87,0.0,1.0,0.7053454754310015,0.7505952380952381,1.0,0.84,0.9572588393599502,en,False,Fri Jul 01 04:22:27 +0000 2011,True,False,"Im 13 Girl (MusicISLife5675 is my other account)Belieber,simponizer,little ,LIVING LIFE TO THE FULLEST #TEAMFOLLOWBACK",[],,0,False,1,False,13,False,False,327192053,327192053,False,False,,0,,Vannessa Berry,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/1421411493/imagesCAFBBFHI_normal.jpg,https://pbs.twimg.com/profile_images/1421411493/imagesCAFBBFHI_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,VannessaBerry,1,,none,,,False,[]
472,0.9373635156266058,1.0,0.1,4.7,2.9,5.0,5.0,2.8,1.0,0.0,5.0,3.5,3.8,5.0,4.2,4.8,0.02,0.94,0.58,0.99,0.99,0.56,0.21,0.0,1.0,0.7053454754310015,0.7505952380952381,1.0,0.84,0.9572588393599502,und,False,Sun Jul 31 00:47:48 +0000 2011,True,True,,[],,0,False,0,False,1,False,False,345684013,345684013,False,False,,0,,tdogg4lyf,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,tdogg4lyf1,1,,none,,,False,[]
473,0.8670116134145492,0.9270685798190942,0.0,2.9,0.4,4.5,4.5,4.4,2.3,0.0,2.5,0.2,4.9,4.9,4.6,2.4,0.01,0.58,0.09,0.9,0.9,0.87,0.47,0.0,0.5,0.05,0.98,0.98,0.93,0.47967871485943775,zxx,False,Wed Aug 03 02:28:57 +0000 2011,True,True,,[],,0,False,1,False,1,False,False,347614985,347614985,False,False,,0,México D.F.,Reciplastic,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,Reciplastic_,1709,,none,,,False,[]
474,0.9307543294922915,0.8662905376040458,0.2,4.5,2.0,4.9,4.9,3.2,3.4,0.0,4.5,2.0,4.0,4.5,3.6,1.6,0.03,0.9,0.4,0.98,0.98,0.64,0.67,0.01,0.9,0.41,0.79,0.9,0.71,0.33,en,False,Fri Aug 05 11:20:57 +0000 2011,True,True,,[],,12,False,2,False,21,False,False,349006669,349006669,False,False,,0,,emanuel,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,EmaBenegas,7,,none,,,False,[]
475,0.8457543526336647,0.8733944954488508,0.1,3.4,1.2,4.1,4.4,4.4,4.1,0.0,4.4,1.8,4.3,4.6,4.6,2.6,0.02,0.69,0.25,0.82,0.87,0.87,0.82,0.0,0.88,0.3543650793650794,0.8566666666666666,0.91,0.91,0.5184590635493261,zxx,False,Sun Aug 21 21:06:20 +0000 2011,True,True,,[],,2,False,4,False,14,False,False,359589218,359589218,False,False,,0,,ajeeroberts,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,ginnia456,6,,none,,,False,[]
476,0.7176911080698488,0.8064216072785402,0.0,3.2,0.1,1.4,1.1,0.4,0.8,0.0,3.5,0.2,1.4,3.5,0.2,1.4,0.0,0.65,0.02,0.29,0.22,0.09,0.17,0.0,0.7,0.04,0.28,0.7,0.04,0.29,en,False,Wed Aug 24 21:27:49 +0000 2011,False,False,whats up?!,[],,112,False,177,False,919,False,True,361489800,361489800,False,False,,0,,Moose,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,,http://pbs.twimg.com/profile_images/1311493233072054272/q4b_AAvl_normal.jpg,https://pbs.twimg.com/profile_images/1311493233072054272/q4b_AAvl_normal.jpg,2FC2EF,181A1E,252429,666666,True,False,EmoMonster95,187,,none,,,False,[]
477,0.7967247202742335,0.7947108099739177,0.1,1.8,0.1,3.0,3.0,0.0,1.0,0.2,1.7,0.4,2.1,1.6,0.0,0.9,0.02,0.36,0.02,0.6,0.6,0.01,0.19,0.03,0.34,0.07,0.42,0.33,0.0,0.18,es,False,Sat Aug 27 17:40:38 +0000 2011,False,False,,[],,269,False,68,False,102,False,False,363190089,363190089,False,False,,0,Madrid,Cris López,False,FFCC4D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/363190089/1412527576,http://pbs.twimg.com/profile_images/518803740649074688/FKObnPFt_normal.jpeg,https://pbs.twimg.com/profile_images/518803740649074688/FKObnPFt_normal.jpeg,110022,FFFFFF,DDEEF6,333333,True,False,cristilopez18,356,,none,,,False,[]
